Song Name,Year,Artist,Genre,Rating,Mood,Play Count,Album,Duration,Language,Tempo,Energy,Danceability,Valence,Acousticness,Speechiness
Waves the Glow,2003,Hans Zimmer,Classical,4.96,Calm,31,Zimmer Sessions Vol. 5,174,Instrumental,80.8,0.348,0.247,0.423,0.903,0.066
Forever for Fire,2017,Diana Krall,Jazz,3.24,Sad,31,Krall Sessions Vol. 1,273,Instrumental,98.1,0.345,0.422,0.232,0.452,0.035
Rosalía's Glow with Glow (Latin),1994,Rosalía,Latin,4.06,Sad,29,Rosalía Sessions Vol. 1,207,Spanish,118.6,0.846,0.839,0.676,0.421,0.115
Night the Again,1990,Hans Zimmer,Classical,4.37,Sad,148,Zimmer Sessions Vol. 2,173,Instrumental,66.8,0.284,0.191,0.0,0.914,0.026
Home with Heart,2010,Taylor Swift,Pop,4.13,Happy,24,Swift Sessions Vol. 6,167,English,114.8,0.729,0.942,0.894,0.29,0.048
Jamie's Horizon for Sky,2023,Jamie Cullum,Jazz,4.84,Chill,20,Cullum Sessions Vol. 2,180,Instrumental,102.7,0.535,0.315,0.51,0.37,0.088
Sky for Gravity (Classical),2010,Yiruma,Classical,4.46,Sad,27,Yiruma Sessions Vol. 3,255,Instrumental,91.2,0.193,0.241,0.232,0.967,0.0
Again the Memories,2022,J Balvin,Latin,3.96,Happy,83,Balvin Sessions Vol. 4,191,Spanish,122.0,0.708,0.779,0.745,0.324,0.183
Stars for Dreams,2023,Olivia Rodrigo,Pop,4.8,Chill,32,Rodrigo Sessions Vol. 3,149,English,124.7,0.75,0.748,0.35,0.319,0.066
Heart the Sky,1993,SEVENTEEN,K-Pop,3.94,Happy,7,SEVENTEEN Sessions Vol. 1,177,Korean,89.4,0.773,0.502,0.97,0.551,0.025
Horizon the Feel,2011,Ariana Grande,Pop,4.1,Melancholic,23,Grande Sessions Vol. 6,152,English,109.1,0.843,0.632,0.507,0.276,0.053
Gravity and Love,2024,Jamie Cullum,Jazz,3.93,Chill,12,Cullum Sessions Vol. 1,185,English,60.8,0.438,0.455,0.603,0.677,0.086
Sun the Roads,2003,Avicii,Electronic,4.44,Chill,15,Avicii Sessions Vol. 1,244,English,120.0,0.59,0.628,0.555,0.118,0.099
Feel the Dance,2011,Phoebe Bridgers,Indie,3.81,Romantic,15,Bridgers Sessions Vol. 6,218,English,118.5,0.419,0.573,0.714,0.296,0.109
Marshmello's River the Dance,2011,Marshmello,Electronic,4.47,Energetic,7,Marshmello Sessions Vol. 5,270,English,128.9,0.911,0.886,0.599,0.083,0.024
Echoes and Sun,2011,Arctic Monkeys,Indie,3.89,Melancholic,6,Monkeys Sessions Vol. 4,232,English,102.1,0.419,0.434,0.248,0.635,0.175
Sun with Roads,1991,J. Cole,Hip-Hop,5.0,Romantic,55,Cole Sessions Vol. 5,291,English,106.9,0.745,0.717,0.631,0.191,0.249
Love of Home,2015,Avicii,Electronic,4.09,Calm,25,Avicii Sessions Vol. 2,197,Instrumental,111.3,0.764,0.68,0.517,0.064,0.0
River in Gravity,1994,Linkin Park,Rock,3.91,Energetic,50,Park Sessions Vol. 6,250,English,135.3,0.801,0.732,0.165,0.0,0.03
Hold and Home (Electronic),2003,David Guetta,Electronic,3.95,Happy,6,Guetta Sessions Vol. 1,201,Instrumental,104.7,0.873,0.924,0.704,0.0,0.026
Home for Heart,1994,SEVENTEEN,K-Pop,3.55,Happy,16,SEVENTEEN Sessions Vol. 5,236,Korean,112.8,0.753,0.814,0.766,0.304,0.106
Memories with Glow,2022,TWICE,K-Pop,4.21,Happy,117,TWICE Sessions Vol. 5,242,Korean,119.1,0.956,0.849,0.725,0.466,0.06
Storm and Echoes,1995,SEVENTEEN,K-Pop,4.48,Happy,9,SEVENTEEN Sessions Vol. 6,216,Korean,114.9,0.667,0.85,0.819,0.0,0.092
Echoes of Gravity,2022,Phoebe Bridgers,Indie,4.69,Calm,45,Bridgers Sessions Vol. 3,226,English,99.0,0.626,0.75,0.412,0.643,0.084
Home and Gravity (Classical),2002,Ludovico Einaudi,Classical,3.71,Melancholic,14,Einaudi Sessions Vol. 2,199,Instrumental,75.8,0.207,0.195,0.397,0.992,0.012
Echoes and Night,2016,Kamasi Washington,Jazz,3.67,Chill,13,Washington Sessions Vol. 5,285,English,100.7,0.541,0.339,0.524,0.73,0.091
Love the Alone,2014,Arijit Singh,Bollywood,3.73,Happy,9,Singh Sessions Vol. 4,244,Hindi,117.6,0.775,0.593,1.0,0.0,0.077
Stars and Waves (Jazz),1990,Jamie Cullum,Jazz,4.23,Calm,65,Cullum Sessions Vol. 2,194,English,98.1,0.378,0.606,0.525,0.506,0.035
Paradise of Rush,2014,Jamie Cullum,Jazz,2.81,Energetic,25,Cullum Sessions Vol. 5,147,English,69.6,0.634,0.431,0.152,0.536,0.02
Storm and Sky (Pop),2010,Ariana Grande,Pop,4.42,Energetic,22,Grande Sessions Vol. 2,181,English,121.6,0.771,0.566,0.487,0.356,0.045
Stars for Memories,2021,Marshmello,Electronic,4.19,Melancholic,26,Marshmello Sessions Vol. 4,210,English,166.0,0.657,0.791,0.436,0.106,0.033
Home with Dreams,2003,Bad Bunny,Latin,4.32,Chill,135,Bunny Sessions Vol. 3,214,Spanish,107.8,0.614,0.684,0.572,0.195,0.053
Fire in Fire,1992,Ed Sheeran,Pop,3.81,Happy,7,Sheeran Sessions Vol. 5,153,English,87.0,1.0,0.941,0.521,0.197,0.065
Roads to Run,2022,Marshmello,Electronic,5.0,Melancholic,34,Marshmello Sessions Vol. 2,229,English,156.5,0.914,0.907,0.506,0.086,0.016
River with Rush,1999,Travis Scott,Hip-Hop,5.0,Happy,6,Scott Sessions Vol. 3,143,English,107.5,0.8,0.672,0.504,0.0,0.19
Gravity for Alone,2023,Calvin Harris,Electronic,4.02,Happy,35,Harris Sessions Vol. 1,123,Instrumental,110.3,0.952,0.605,0.824,0.088,0.008
Feel with Again (Rock),2006,Red Hot Chili Peppers,Rock,3.34,Melancholic,5,Peppers Sessions Vol. 5,222,English,123.3,0.683,0.597,0.308,0.19,0.057
Again with Glow,2000,Dua Lipa,Pop,4.26,Sad,81,Lipa Sessions Vol. 4,178,English,121.1,0.726,0.728,0.553,0.203,0.097
Feel for Run,2011,Jamie Cullum,Jazz,4.69,Motivational,116,Cullum Sessions Vol. 4,220,English,94.9,0.613,0.432,0.446,0.498,0.104
Hold and River,2025,Calvin Harris,Electronic,4.09,Motivational,73,Harris Sessions Vol. 2,180,English,143.3,0.636,0.652,0.693,0.019,0.051
Light the Horizon,2011,Dua Lipa,Pop,4.55,Energetic,12,Lipa Sessions Vol. 4,175,English,113.5,0.765,0.815,0.629,0.22,0.106
Home with Feel,2014,A.R. Rahman,Bollywood,4.55,Calm,12,Rahman Sessions Vol. 1,280,Hindi,116.8,1.0,0.688,0.614,0.472,0.042
Alone in Dance,2006,Rosalía,Latin,4.51,Happy,26,Rosalía Sessions Vol. 1,207,Spanish,119.5,0.846,0.825,0.655,0.0,0.044
Silence the Feel,2014,A.R. Rahman,Bollywood,4.33,Happy,45,Rahman Sessions Vol. 5,228,Hindi,95.0,0.707,0.773,0.77,0.384,0.113
Stars in Heart,1996,Yiruma,Classical,4.09,Romantic,68,Yiruma Sessions Vol. 3,227,Instrumental,76.6,0.262,0.169,0.819,0.906,0.0
Run and Stars,2012,BLACKPINK,K-Pop,4.11,Chill,14,BLACKPINK Sessions Vol. 2,261,Korean,108.8,0.63,0.856,0.492,0.0,0.105
TWICE's Alone in Again (K-Pop),1991,TWICE,K-Pop,4.22,Happy,74,TWICE Sessions Vol. 2,238,Korean,131.7,0.729,0.874,0.84,0.0,0.093
Paradise the Gravity,1994,BLACKPINK,K-Pop,3.27,Happy,16,BLACKPINK Sessions Vol. 1,139,Korean,99.7,0.624,0.452,0.377,0.338,0.096
Waves and Forever (Latin),1993,Bad Bunny,Latin,4.09,Romantic,20,Bunny Sessions Vol. 4,249,Spanish,116.8,0.812,0.559,0.541,0.295,0.068
Waves of River,1999,Bad Bunny,Latin,4.14,Romantic,13,Bunny Sessions Vol. 4,308,Spanish,120.1,0.532,0.796,0.752,0.225,0.105
Heart to Hold,2024,Kanye West,Hip-Hop,4.72,Sad,31,West Sessions Vol. 2,241,English,99.7,0.811,0.575,0.635,0.157,0.5
Rush and Alone,1992,Shreya Ghoshal,Bollywood,4.11,Chill,3,Ghoshal Sessions Vol. 4,216,Hindi,109.4,0.544,0.616,0.469,0.654,0.108
Moon in Stars,1997,Phoebe Bridgers,Indie,4.25,Sad,38,Bridgers Sessions Vol. 2,200,English,104.0,0.522,0.615,0.346,0.496,0.032
Feel and Gravity,2002,Kanye West,Hip-Hop,4.49,Energetic,15,West Sessions Vol. 1,290,English,95.4,0.755,0.803,0.648,0.115,0.336
Storm and Dreams,2016,Avicii,Electronic,4.44,Happy,15,Avicii Sessions Vol. 6,184,English,135.6,0.931,0.862,0.81,0.075,0.082
Paradise in Moon (Bollywood),2021,Shreya Ghoshal,Bollywood,4.08,Chill,12,Ghoshal Sessions Vol. 1,210,Hindi,102.5,0.547,0.759,0.579,0.363,0.086
Roads with Memories,2017,Drake,Hip-Hop,4.29,Energetic,14,Drake Sessions Vol. 3,234,English,85.1,0.769,0.678,0.507,0.119,0.369
Dance the Silence,2007,Linkin Park,Rock,4.38,Happy,13,Park Sessions Vol. 6,149,English,123.9,0.929,0.446,0.765,0.166,0.032
Forever to Stars (Bollywood),2018,Arijit Singh,Bollywood,4.78,Calm,12,Singh Sessions Vol. 6,213,Hindi,113.0,0.345,0.788,0.547,0.462,0.002
Waves to Moon,2004,Arijit Singh,Bollywood,3.81,Happy,41,Singh Sessions Vol. 2,187,Hindi,128.2,0.72,0.769,0.288,0.227,0.056
Again and Forever,2014,Sonu Nigam,Bollywood,4.43,Sad,38,Nigam Sessions Vol. 4,223,Hindi,121.0,0.753,0.56,0.648,0.685,0.021
Travis's Sun and Memories,2003,Travis Scott,Hip-Hop,5.0,Motivational,98,Scott Sessions Vol. 3,267,English,99.5,0.827,0.833,0.534,0.12,0.321
Heart for Dance,1991,Foo Fighters,Rock,4.7,Happy,16,Fighters Sessions Vol. 3,184,English,127.3,0.61,0.514,0.758,0.094,0.007
Night in Silence,2022,Olivia Rodrigo,Pop,4.67,Happy,51,Rodrigo Sessions Vol. 4,166,English,109.6,0.674,0.667,0.834,0.571,0.055
Fire the Echoes,2022,Bad Bunny,Latin,4.22,Romantic,16,Bunny Sessions Vol. 5,174,Spanish,105.1,0.707,0.573,0.581,0.187,0.139
Sky the Paradise (Pop),2023,Olivia Rodrigo,Pop,4.25,Happy,16,Rodrigo Sessions Vol. 6,234,English,108.7,0.673,0.662,0.828,0.229,0.027
Memories in Waves,1997,Calvin Harris,Electronic,4.52,Sad,62,Harris Sessions Vol. 6,245,English,128.8,0.908,0.928,0.569,0.126,0.061
Home and Paradise (Indie),2000,The 1975,Indie,4.53,Happy,105,1975 Sessions Vol. 4,217,English,97.0,0.748,0.624,0.812,0.865,0.046
Shreya's Forever for Silence,2018,Shreya Ghoshal,Bollywood,4.76,Romantic,427,Ghoshal Sessions Vol. 4,234,Hindi,110.5,0.975,0.513,0.583,0.458,0.137
Echoes to Waves,2004,Phoebe Bridgers,Indie,4.07,Melancholic,4,Bridgers Sessions Vol. 2,218,English,103.6,0.41,0.69,0.41,0.224,0.108
Storm in Gravity,2009,SEVENTEEN,K-Pop,4.37,Energetic,294,SEVENTEEN Sessions Vol. 3,334,Korean,116.0,0.797,0.692,0.416,0.436,0.019
Waves with Rush,2001,Norah Jones,Jazz,3.86,Chill,2,Jones Sessions Vol. 6,255,English,101.2,0.44,0.405,0.558,0.826,0.099
Silence to Forever,2003,Nicki Minaj,Hip-Hop,4.79,Happy,37,Minaj Sessions Vol. 2,208,English,90.1,0.825,0.652,0.78,0.239,0.416
Fire and Storm,2017,Bad Bunny,Latin,4.6,Happy,6,Bunny Sessions Vol. 6,165,Spanish,104.4,0.816,0.408,0.635,0.372,0.0
Gravity and Moon (Latin),2019,Shakira,Latin,3.63,Romantic,39,Shakira Sessions Vol. 5,203,Spanish,126.6,0.594,0.563,0.746,0.159,0.0
SEVENTEEN's Gravity for Waves,2017,SEVENTEEN,K-Pop,4.29,Romantic,65,SEVENTEEN Sessions Vol. 6,123,Korean,111.7,0.589,0.593,0.771,0.411,0.0
Run of Feel,2001,Coldplay,Rock,4.43,Energetic,19,Coldplay Sessions Vol. 2,215,English,109.7,0.805,0.414,0.389,0.226,0.068
Night the Horizon (Rock),1997,Linkin Park,Rock,3.89,Romantic,149,Park Sessions Vol. 1,235,English,141.7,0.548,1.0,0.381,0.045,0.076
Feel to Sun,2007,Jamie Cullum,Jazz,4.35,Chill,14,Cullum Sessions Vol. 5,248,Instrumental,92.1,0.476,0.554,0.516,0.674,0.055
Sun in Waves,1994,Red Hot Chili Peppers,Rock,3.27,Energetic,56,Peppers Sessions Vol. 5,275,English,121.3,0.824,0.667,0.354,0.021,0.087
Sun of Glow,2000,Shakira,Latin,4.68,Chill,72,Shakira Sessions Vol. 3,200,Spanish,115.1,0.533,0.846,0.609,0.14,0.067
River the Moon,1996,BLACKPINK,K-Pop,3.56,Motivational,4,BLACKPINK Sessions Vol. 3,215,Korean,91.6,0.79,0.834,0.653,0.155,0.149
Heart in Dance,2015,Shakira,Latin,4.36,Chill,78,Shakira Sessions Vol. 4,162,Spanish,96.7,0.933,0.564,0.592,0.154,0.015
Love to Storm,2012,Tame Impala,Indie,4.5,Energetic,51,Impala Sessions Vol. 3,188,English,115.5,1.0,0.604,0.065,0.124,0.089
Roads for Again,1993,The Weeknd,Pop,3.71,Romantic,58,Weeknd Sessions Vol. 2,175,English,121.4,0.742,0.763,0.599,0.191,0.042
Arctic's Moon of Alone,2014,Arctic Monkeys,Indie,3.67,Melancholic,23,Monkeys Sessions Vol. 6,146,English,95.7,0.263,0.648,0.391,0.753,0.119
Forever with Feel (Classical),2025,Hans Zimmer,Classical,4.12,Calm,13,Zimmer Sessions Vol. 3,177,Instrumental,84.0,0.289,0.142,0.445,0.855,0.009
Stars for Waves,2013,TWICE,K-Pop,4.77,Romantic,16,TWICE Sessions Vol. 2,256,Korean,127.3,0.55,0.758,0.784,0.582,0.101
Fire for Home,1999,Ludovico Einaudi,Classical,4.54,Sad,17,Einaudi Sessions Vol. 1,233,Instrumental,76.7,0.325,0.275,0.249,0.865,0.036
Love the Paradise (Jazz),2004,Diana Krall,Jazz,3.85,Sad,11,Krall Sessions Vol. 4,215,Instrumental,78.1,0.396,0.38,0.214,0.588,0.083
Sun in Waves (Indie),1996,Phoebe Bridgers,Indie,5.0,Melancholic,117,Bridgers Sessions Vol. 1,177,English,85.1,0.663,0.534,0.376,0.483,0.058
Memories and Rush,1995,TWICE,K-Pop,3.91,Sad,18,TWICE Sessions Vol. 6,169,Korean,101.7,0.785,0.945,0.575,0.143,0.07
Waves of Heart,1992,Coldplay,Rock,4.39,Happy,75,Coldplay Sessions Vol. 3,130,English,104.8,0.804,0.507,0.57,0.234,0.101
Run with Fire,2002,Kamasi Washington,Jazz,4.86,Chill,44,Washington Sessions Vol. 5,213,English,76.9,0.651,0.5,0.55,0.494,0.048
Gravity the Light,2019,Rosalía,Latin,3.5,Romantic,23,Rosalía Sessions Vol. 1,188,Spanish,105.1,0.522,0.9,0.769,0.155,0.079
Glow with Again (Classical),2005,Ludovico Einaudi,Classical,3.58,Sad,22,Einaudi Sessions Vol. 5,224,Instrumental,89.4,0.258,0.323,0.255,0.863,0.025
Moon to Love (Rock),1992,Linkin Park,Rock,3.12,Calm,32,Park Sessions Vol. 6,165,English,106.4,0.659,0.37,0.26,0.007,0.062
Memories for Paradise,2019,Kanye West,Hip-Hop,3.85,Happy,33,West Sessions Vol. 1,198,English,119.9,0.749,0.784,0.715,0.108,0.24
Storm in Fire,1999,Avicii,Electronic,4.3,Happy,259,Avicii Sessions Vol. 3,200,Instrumental,135.4,0.768,0.737,0.698,0.023,0.053
Imagine's Horizon for Home,1997,Imagine Dragons,Rock,4.68,Happy,0,Dragons Sessions Vol. 3,170,English,114.0,0.722,0.679,0.483,0.0,0.063
Feel to Heart,2009,Tame Impala,Indie,4.13,Chill,6,Impala Sessions Vol. 6,172,English,103.4,0.54,0.551,0.526,0.51,0.113
Home to Night,1998,Ludovico Einaudi,Classical,3.58,Melancholic,16,Einaudi Sessions Vol. 5,196,Instrumental,87.2,0.403,0.322,0.377,0.889,0.05
Love of Waves,2018,TWICE,K-Pop,5.0,Happy,7,TWICE Sessions Vol. 6,229,Korean,98.5,0.616,0.862,0.793,0.428,0.016
Glow of Forever,2011,Linkin Park,Rock,4.08,Happy,7,Park Sessions Vol. 1,197,English,115.8,0.785,0.748,0.767,0.089,0.013
Silence the Echoes,2015,Phoebe Bridgers,Indie,4.18,Chill,3,Bridgers Sessions Vol. 5,170,English,110.8,0.755,0.481,0.686,0.566,0.003
Glow in Feel,2018,Red Hot Chili Peppers,Rock,4.94,Chill,17,Peppers Sessions Vol. 4,192,English,161.2,0.657,0.594,0.136,0.29,0.025
Sun the Again,2010,Norah Jones,Jazz,4.86,Chill,8,Jones Sessions Vol. 3,209,English,85.0,0.575,0.377,0.362,0.874,0.07
Feel of Run,1997,Bad Bunny,Latin,4.32,Sad,13,Bunny Sessions Vol. 1,206,Spanish,77.6,0.755,0.719,0.591,0.352,0.073
Heart and Again,2017,BTS,K-Pop,3.31,Happy,77,BTS Sessions Vol. 6,166,Korean,98.0,0.895,0.632,0.888,0.001,0.114
Alone the Heart,2014,Norah Jones,Jazz,4.09,Melancholic,19,Jones Sessions Vol. 5,219,English,97.8,0.435,0.364,0.481,0.604,0.025
Again of Hold,1991,J Balvin,Latin,5.0,Melancholic,46,Balvin Sessions Vol. 5,268,Spanish,109.6,0.786,0.713,0.508,0.303,0.076
Sky the Gravity,2003,Norah Jones,Jazz,5.0,Melancholic,7,Jones Sessions Vol. 1,158,English,103.9,0.348,0.493,0.343,0.684,0.044
River with Dance (Classical),2001,Ludovico Einaudi,Classical,4.34,Sad,17,Einaudi Sessions Vol. 2,203,Instrumental,77.3,0.222,0.231,0.245,0.941,0.037
Echoes the Sky,2014,Ariana Grande,Pop,4.15,Chill,20,Grande Sessions Vol. 4,158,English,134.1,0.774,0.838,0.683,0.299,0.139
Sky for Roads (Bollywood),2022,Arijit Singh,Bollywood,4.24,Happy,134,Singh Sessions Vol. 2,134,Hindi,127.2,0.737,0.704,0.75,0.076,0.09
Stars in Hold,1990,Rosalía,Latin,4.47,Motivational,30,Rosalía Sessions Vol. 4,209,Spanish,119.4,0.749,0.858,0.655,0.107,0.104
Home and Roads (Rock),2016,Foo Fighters,Rock,3.64,Romantic,29,Fighters Sessions Vol. 1,189,English,102.9,0.725,0.651,0.396,0.248,0.104
Heart of Waves,2009,David Guetta,Electronic,3.86,Romantic,43,Guetta Sessions Vol. 3,126,English,151.2,0.675,0.669,0.453,0.027,0.025
Jamie's Dance for Run (Jazz),2018,Jamie Cullum,Jazz,4.29,Calm,102,Cullum Sessions Vol. 1,187,English,100.9,0.345,0.4,0.404,0.423,0.079
Foo's Moon and Alone (Rock),2008,Foo Fighters,Rock,4.11,Chill,13,Fighters Sessions Vol. 6,187,English,160.1,1.0,0.781,0.69,0.273,0.084
Rush the Dreams,2022,Hans Zimmer,Classical,4.14,Melancholic,100,Zimmer Sessions Vol. 6,206,Instrumental,88.4,0.346,0.209,0.315,0.974,0.0
Storm the Run,2003,Kamasi Washington,Jazz,4.63,Calm,52,Washington Sessions Vol. 4,171,Instrumental,104.5,0.327,0.672,0.409,0.783,0.067
Silence in Glow,1995,Drake,Hip-Hop,4.29,Happy,61,Drake Sessions Vol. 5,134,English,98.6,0.756,0.751,0.851,0.014,0.419
Light in Roads (Hip-Hop),1993,Kendrick Lamar,Hip-Hop,4.25,Energetic,25,Lamar Sessions Vol. 3,207,English,93.1,0.706,0.74,0.35,0.081,0.389
Hold to Echoes,2013,Coldplay,Rock,4.1,Motivational,9,Coldplay Sessions Vol. 5,205,English,110.7,0.758,0.709,0.547,0.129,0.047
Echoes of Waves,1998,A.R. Rahman,Bollywood,3.94,Happy,21,Rahman Sessions Vol. 2,199,Hindi,102.6,0.616,0.744,0.889,0.437,0.038
Phoebe's Silence of Alone,2004,Phoebe Bridgers,Indie,4.66,Calm,35,Bridgers Sessions Vol. 3,199,English,106.5,0.38,0.388,0.516,0.245,0.092
Storm for Dreams,2010,Max Richter,Classical,3.39,Sad,70,Richter Sessions Vol. 6,167,Instrumental,86.7,0.24,0.436,0.121,0.858,0.032
Moon in Forever,2023,Bad Bunny,Latin,3.06,Romantic,27,Bunny Sessions Vol. 5,250,Spanish,99.0,0.578,0.774,0.711,0.372,0.029
Dua's Gravity of Silence,1991,Dua Lipa,Pop,5.0,Romantic,16,Lipa Sessions Vol. 3,174,English,131.4,0.499,0.816,0.723,0.165,0.138
Rush the Dance,2010,Rosalía,Latin,3.72,Melancholic,24,Rosalía Sessions Vol. 3,190,Spanish,124.2,0.597,0.714,0.693,0.078,0.0
Forever of Paradise,2022,Arijit Singh,Bollywood,4.83,Happy,13,Singh Sessions Vol. 1,206,Hindi,139.4,0.698,0.67,0.779,0.256,0.007
River with Fire,2001,Shreya Ghoshal,Bollywood,4.3,Calm,31,Ghoshal Sessions Vol. 1,136,Hindi,102.9,0.331,0.602,0.573,0.269,0.016
Dance with Horizon,2009,Jamie Cullum,Jazz,3.59,Romantic,27,Cullum Sessions Vol. 5,214,Instrumental,115.5,0.593,0.514,0.231,0.715,0.044
